Date Time Hour Beginning,onwind,solar,CSP,hydro,imports,biomass
time (SAST),normalised feed-in [MW/MW],normalised feed-in [MW/MW],normalised feed-in [MW/MW],normalised feed-in [MW/MW],normalised feed-in [MW/MW],normalised feed-in [MW/MW]
2018-04-01 00:00:00,0.218972720097029,0,0.0585166666666667,0.6,0.634560906515581,0.575711662075298
2018-04-01 01:00:00,0.1891294303371,0,0.130436666666667,0.6,0.626628895184136,0.56951331496786
2018-04-01 02:00:00,0.16236932791714,0,0.130543333333333,0.6,0.6328611898017,0.554729109274564
2018-04-01 03:00:00,0.143057774868606,0,0.129806666666667,0.6,0.63342776203966,0.563728191000918
2018-04-01 04:00:00,0.149191421365728,0,0.0834133333333333,0.6,0.627762039660057,0.573370064279155
2018-04-01 05:00:00,0.166192749744913,0,0,0.6,0.637393767705382,0.557759412304867
2018-04-01 06:00:00,0.161430799145217,0.00600261838704645,0,0.6,0.66742209631728,0.557392102846648
2018-04-01 07:00:00,0.175441830468013,0.196368175065629,0.000856666666666667,0.791666666666667,0.687818696883853,0.548438934802571
2018-04-01 08:00:00,0.156830564272376,0.513733643560192,0.1402,0.801666666666667,0.70028328611898,0.540955004591368
2018-04-01 09:00:00,0.143481316057987,0.694192743133517,0.32867,0.603333333333333,0.699150141643059,0.568135904499541
2018-04-01 10:00:00,0.195471959648076,0.773266675258956,0.478943333333333,0.6,0.689518413597734,0.568686868686869
2018-04-01 11:00:00,0.216491153764704,0.808535534768246,0.497113333333333,0.6,0.684985835694051,0.579660238751148
2018-04-01 12:00:00,0.213837283175789,0.791792102781867,0.648303333333333,0.6,0.68271954674221,0.58099173553719
2018-04-01 13:00:00,0.207064955816953,0.775883027289562,0.5945,0.6,0.691218130311615,0.573507805325987
2018-04-01 14:00:00,0.247906358893402,0.753908247919196,0.617493333333333,0.6,0.699150141643059,0.57346189164371
2018-04-01 15:00:00,0.285809926265329,0.650505701436043,0.679333333333333,0.6,0.709915014164306,0.580073461891644
2018-04-01 16:00:00,0.326212867951408,0.466762764636851,0.812826666666667,0.6,0.696883852691218,0.573094582185491
2018-04-01 17:00:00,0.313602410334405,0.187037627442867,0.766256666666667,0.6,0.701416430594901,0.572819100091827
2018-04-01 18:00:00,0.297065052076314,0.00697671263541335,0.673526666666667,0.791666666666667,0.657223796033994,0.586225895316804
2018-04-01 19:00:00,0.298409314055792,0,0.342723333333333,0.8,0.643626062322946,0.476951331496786
2018-04-01 20:00:00,0.284782838881081,0,0.41348,0.8,0.648725212464589,0.482920110192837
2018-04-01 21:00:00,0.218278690102612,0,0.461,0.603333333333333,0.65042492917847,0.622130394857668
2018-04-01 22:00:00,0.216888704926554,0,0.0776,0.6,0.627195467422096,0.625941230486685
2018-04-01 23:00:00,0.235353175596327,0,0,0.6,0.643626062322946,0.569237832874197
2018-04-02 00:00:00,0.183800993396608,0,0,0.6,0.629461756373938,0.569742883379247
2018-04-02 01:00:00,0.168300348458888,0,0,0.6,0.63342776203966,0.597750229568411
2018-04-02 02:00:00,0.153884546522149,0,0,0.48,0.603966005665722,0.60137741046832
2018-04-02 03:00:00,0.149836359085921,0,0,0.588333333333333,0.546742209631728,0.571625344352617
2018-04-02 04:00:00,0.217596211231542,0,0,0.6,0.371104815864023,0.57910927456382
2018-04-02 05:00:00,0.332486090522303,0,0,0.6,0.251558073654391,0.594031221303949
2018-04-02 06:00:00,0.361783589704099,0.00532767146704292,0,0.6,0.419830028328612,0.594765840220386
2018-04-02 07:00:00,0.34599657316674,0.111116613190973,0,0.771666666666667,0.632294617563739,0.628787878787879
2018-04-02 08:00:00,0.299406561038061,0.320865017399385,0.15382,0.803333333333333,0.690651558073654,0.62791551882461
2018-04-02 09:00:00,0.210614038465241,0.464312605566447,0.518403333333333,0.645,0.698016997167139,0.6044536271809
2018-04-02 10:00:00,0.241078682401864,0.517516059666664,0.611673333333333,0.6,0.673087818696884,0.615840220385675
2018-04-02 11:00:00,0.301519935313709,0.572454703939112,0.616093333333333,0.6,0.668555240793201,0.627180899908173
2018-04-02 12:00:00,0.369376528117359,0.57143516100367,0.69162,0.6,0.669121813031161,0.619421487603306
2018-04-02 13:00:00,0.430287045415167,0.576440621629505,0.72434,0.6,0.677053824362606,0.614830119375574
2018-04-02 14:00:00,0.42582253624165,0.550379530454012,0.677033333333333,0.6,0.678186968838527,0.623048668503214
2018-04-02 15:00:00,0.404104499162544,0.392045123084541,0.550996666666667,0.6,0.675354107648725,0.619834710743802
2018-04-02 16:00:00,0.530466087827041,0.211297729600662,0.631423333333333,0.6,0.68271954674221,0.617217630853994
2018-04-02 17:00:00,0.655311110255473,0.0918138096174848,0.53085,0.6,0.689518413597734,0.621487603305785
2018-04-02 18:00:00,0.596055772673893,0.00401372957352851,0.518586666666667,0.756666666666667,0.658356940509915,0.590312213039486
2018-04-02 19:00:00,0.521384498392469,0,0.504466666666667,0.801666666666667,0.638526912181303,0.605601469237833
2018-04-02 20:00:00,0.332969312515642,0,0.44865,0.8,0.632294617563739,0.622727272727273
2018-04-02 21:00:00,0.298458887626822,0,0.332083333333333,0.64,0.63342776203966,0.629568411386593
2018-04-02 22:00:00,0.271093313824769,0,0.0255633333333333,0.6,0.621529745042493,0.624793388429752
2018-04-02 23:00:00,0.232465876056446,0,0,0.6,0.621529745042493,0.613269054178145
2018-04-03 00:00:00,0.212618639662707,0,0,0.6,0.521246458923513,0.606565656565657
2018-04-03 01:00:00,0.217806056639008,0,0,0.6,0.504815864022663,0.605280073461892
