name,area_ratio,area,available_area
NAMAQUALAND,0.11438895226682712,98968.23226777789,11320.872396811104
WEST COAST,0.0,69720.09274914216,0.0
PENINSULA,0.016727065625813064,11716.319177763226,195.97963977941762
SOUTHERN CAPE,0.06781593981255084,109653.41050147737,7436.249086809119
PORT ELIZABETH,0.044563351925686376,80714.14512137562,3596.8928544247838
KAROO,0.022920606617093657,151464.45581792606,3471.657208274846
KIMBERLEY,0.11726653172913137,143240.81678140012,16797.35378600275
CARLETONVILLE,0.005929553626346865,49480.7323568361,293.39865598077614
WELKOM,0.008266022694181769,28141.594562120055,232.61905930094665
BLOEMFONTEIN,0.03227913255899179,56075.03914380806,1810.0536217736342
EAST LONDON,0.0988167895287066,71892.17393704964,7104.1538206986
PINETOWN,0.0,45833.68945969081,0.0
LADYSMITH,0.0,13421.066504924082,0.0
VAAL TRIANGLE,0.0,2434.3540144273716,0.0
WESTRAND,0.0,2191.170956247343,0.0
RUSTENBURG,0.0,20426.71510538566,0.0
WATERBERG,0.0,23611.98769252036,0.0
POLOKWANE,0.0,82110.500547676,0.0
WARMBAD,0.0,5703.630275002548,0.0
PRETORIA,0.0,7092.809193499261,0.0
JOHANNESBURG,0.0,2143.9330366380004,0.0
NIGEL,0.0,4547.194032774516,0.0
HIGHVELD SOUTH,0.0,17682.86107567371,0.0
HIGHVELD NORTH,0.0,15490.080167379982,0.0
LOWVELD,0.0,50627.237625866066,0.0
NEWCASTLE,0.0,30569.79776041492,0.0
EMPANGENI,0.0,26293.868785056216,0.0
