Trigger, Description, Definition, Status
``za-original``, cost assumption in PyPSA-ZA: Investment and operation co-optimization of integrating wind and solar in South Africa at high spatial and temporal detail, , In active use
``za-updated``,cost assumption in PyPSA-ZA: Investment and operation co-optimization of integrating wind and solar in South Africa at high spatial and temporal detail , , In active use
``IRP-2019``,https://www.energy.gov.za/irp/2019/IRP-2019.pdf , , In active use
``validation-1``,https://researchspace.csir.co.za/dspace/handle/10204/11483 , , In active use
``validation-2``,https://researchspace.csir.co.za/dspace/handle/10204/11483 , , In active use
``validation-3``,https://researchspace.csir.co.za/dspace/handle/10204/11483 , , In active use
``validation-4``,https://researchspace.csir.co.za/dspace/handle/10204/11483 , , In active use
``validation-5``,https://researchspace.csir.co.za/dspace/handle/10204/11483 , , In active use
