Trigger, Description, Definition, Status
``redz``, Restrict renewables expansion to Phase 1 and Phase 2 Renewable Energy Development Zones (REDZs), , In active use
``corridors``, Restrict renewables expansion to Renewable Energy Development Zones (REDZs), , In active use
