scenario,technology,parameter,2019,2020,2025,2030,2035,2040,2045,2050,unit
csir_ambitions_2019,HVAC overhead,investment,6000,6000,6000,6000,6000,6000,6000,6000,ZAR/MW/km
csir_ambitions_2019,HVDC inverter pair,investment,,,,,,,,,ZAR/MW
csir_ambitions_2019,HVDC overhead,investment,6000,6000,6000,6000,6000,6000,6000,6000,ZAR/MW/km
csir_ambitions_2019,HVDC submarine,investment,,,,,,,,,ZAR/MW/km
csir_ambitions_2019,hydro,investment,74340,74340,74340,74340,74340,74340,74340,74340,ZAR/kWel
csir_ambitions_2019,nuclear,investment,94145,93964,93057,92150,91968,91968,91968,91968,ZAR/kWel
csir_ambitions_2019,OCGT,investment,10754,10754,10754,10754,10754,10754,10754,10754,ZAR/kWel
csir_ambitions_2019,onwind,investment,14691,14431,13131,11831,11190,10544,9893,9238,ZAR/kWel
csir_ambitions_2019,PHS,investment,30777,30777,30777,30777,30777,30777,30777,30777,ZAR/kWel
csir_ambitions_2019,ror,investment,74340,74340,74340,74340,74340,74340,74340,74340,ZAR/kWel
csir_ambitions_2019,solar,investment,8746,8206,6671,5136,4402,3844,3506,3238,ZAR/kWel
csir_ambitions_2019,solar-rooftop,investment,8746,8206,6671,5136,4402,3844,3506,3238,ZAR/kWel
csir_ambitions_2019,solar-utility,investment,8746,8206,6671,5136,4402,3844,3506,3238,ZAR/kWel
csir_ambitions_2019,battery inverter,lifetime,20,20,20,20,20,20,20,20,years
csir_ambitions_2019,battery storage,lifetime,20,20,20,20,20,20,20,20,years
csir_ambitions_2019,biomass,lifetime,30,30,30,30,30,30,30,30,years
csir_ambitions_2019,CCGT,lifetime,30,30,30,30,30,30,30,30,years
csir_ambitions_2019,coal,lifetime,50,50,50,50,50,50,50,50,years
csir_ambitions_2019,CSP,lifetime,30,30,30,30,30,30,30,30,years
csir_ambitions_2019,diesel,lifetime,30,30,30,30,30,30,30,30,years
csir_ambitions_2019,HVAC overhead,lifetime,40,40,40,40,40,40,40,40,years
csir_ambitions_2019,HVDC inverter pair,lifetime,40,40,40,40,40,40,40,40,years
csir_ambitions_2019,HVDC overhead,lifetime,40,40,40,40,40,40,40,40,years
csir_ambitions_2019,HVDC submarine,lifetime,40,40,40,40,40,40,40,40,years
csir_ambitions_2019,hydro,lifetime,60,60,60,60,60,60,60,60,years
csir_ambitions_2019,nuclear,lifetime,60,60,60,60,60,60,60,60,years
csir_ambitions_2019,OCGT,lifetime,30,30,30,30,30,30,30,30,years
csir_ambitions_2019,onwind,lifetime,20,20,20,20,20,20,20,20,years
csir_ambitions_2019,PHS,lifetime,50,50,50,50,50,50,50,50,years
csir_ambitions_2019,ror,lifetime,60,60,60,60,60,60,60,60,years
csir_ambitions_2019,solar,lifetime,25,25,25,25,25,25,25,25,years
csir_ambitions_2019,solar-rooftop,lifetime,25,25,25,25,25,25,25,25,years
csir_ambitions_2019,solar-utility,lifetime,25,25,25,25,25,25,25,25,years
csir_ambitions_2019,CCGT,VOM,27,27,27,27,27,27,27,27,ZAR/MWhel
csir_ambitions_2019,coal,VOM,98,98,98,98,98,98,98,98,ZAR/MWhel
csir_ambitions_2019,CSP,VOM,1,1,1,1,1,1,1,1,ZAR/MWhel
csir_ambitions_2019,diesel,VOM,3,3,3,3,3,3,3,3,EUR/MWhel
csir_ambitions_2019,nuclear,VOM,45,45,45,45,45,45,45,45,ZAR/MWhel
csir_ambitions_2019,OCGT,VOM,3,3,3,3,3,3,3,3,ZAR/MWhel
csir_ambitions_2019,onwind,VOM,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,ZAR/MWhel
csir_ambitions_2019,solar,VOM,0,0,0,0,0,0,0,0,ZAR/MWhel
