scenario,parameter,unit,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ambitions,annual_demand,TWh/yr,240,240,242,246,250,254,257,261,265,269,272,277,280,284,287,291,294,298,301,305,308,311,314,319,321,325,329,332,335,339,342,346
ambitions,coal_fleet_EAF,%/yr,58.5%,57.3%,56.5%,56.4%,56.4%,55.8%,55.6%,55.8%,55.6%,55.7%,56.3%,57.2%,57.5%,58.2%,58.9%,59.4%,59.6%,60.3%,61.3%,61.8%,61.9%,62.4%,65.3%,65.7%,66.3%,66.6%,67.1%,67.5%,68.4%,69.6%,71.0%,71.8%
ambitions,spinning_reserves,MW,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
ambitions,total_reserves,MW,2200,2200,2200,2200,2200,2200,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
ambitions,reserve_margin_active,TRUE/FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ambitions,reserve_margin,%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%
